Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.894495	11.453651	80.0	9.0	22.894495	0.027203547	0.046987846	0.20300703	-0.29816455	5000	-8.010864e-09	282.98395	-0.024801083	-124.69098	0.6903869	0.013270459	0.099	79.0	2.9606189727783203
1	33.0596	18.976189	107.0	10.0	33.0596	7.296	2.347909	25.879585	4.7831492	10000	-5.9127807e-08	354.5041	-0.02023169	-174.98462	0.6771874	0.009827141	0.0698	79.0	5.383696794509888
2	56.068966	33.928185	146.0	12.0	56.068966	19.559603	2.6776516	37.28896	13.679046	15000	-3.7956237e-08	508.38254	-0.023018377	-163.01978	0.6589413	0.010068478	0.1244	79.0	7.683503150939941
3	90.85185	42.83751	195.0	12.0	90.85185	30.954432	2.1294818	45.037132	22.751152	20000	-8.106232e-09	524.11884	-0.0145853795	-130.70996	0.63522434	0.007821625	0.0622	79.0	10.051085948944092
4	101.28571	43.814545	177.0	19.0	101.28571	39.81014	3.9293993	46.505337	20.499046	25000	8.296967e-09	418.77286	-0.015406878	-54.5347	0.62428653	0.009275647	0.0822	79.0	12.369597911834717
5	148.69698	50.908405	200.0	23.0	148.69698	42.3524	7.021893	50.908684	8.350827	30000	-5.722046e-10	496.701	-0.011265413	-199.0712	0.6036554	0.009653814	0.0792	79.0	14.646789789199829
6	150.06061	40.716267	200.0	49.0	150.06061	48.725742	16.013659	66.72674	5.2106814	35000	6.2942505e-09	229.90523	-0.00951768	-50.342728	0.5927826	0.0077610137	0.0584	79.0	16.913667917251587
7	184.92308	27.39585	200.0	88.0	184.92308	55.134563	17.126476	79.467545	4.763061	40000	-1.3065338e-08	319.12753	-0.007977975	-56.165497	0.5875594	0.008688038	0.0904	79.0	19.19158911705017
8	172.3793	38.297756	200.0	23.0	172.3793	52.988487	20.66827	76.49522	-8.028264	45000	-4.9591065e-09	190.41745	-0.0071523883	-16.664032	0.58653224	0.0038396916	0.0518	79.0	21.458021879196167
9	191.03847	21.981602	200.0	111.0	191.03847	62.979187	11.95413	77.62075	1.9728061	50000	4.196167e-09	415.81805	-0.005647485	-73.13187	0.5753213	0.0029681462	0.0322	79.0	24.005271911621094
